FN
647.19
646.7
647.48
647.06
647.04
646.86
647.14
646.99
646.65
647.25
646.57
646.44
646.44
646.03
646
645.65
645.85
646.08
646.16
646.58
645.91
646.52
646.09
645.62
646.21
645.51
645.5
646.42
645.85
645.31
645.57
646.14
645.78
645.18
645.15
645.26
645.34
644.84
644.81
645.36
644.81
645.25
644.4
645.29
645.07
645.2
644.97
645.57
645.48
645.98
645.58
645.71
645.53
645.31
645.73
646
645.72
645.91
646.08
645.98
646.78
646.12
646.24
645.91
645.72
645.1
645.88
645.68
644.87
645.91
645.99
645.01
644.47
644.36
645.42
645.5
645.09
645.73
644.75
645.39
645.71
645.66
645.61
646.05
645.14
645.87
645.66
645.57
645.27
646.16
646.13
646.22
645.53
646.39
646.37
645.85
647.27
647.27
647.74
647.96
647.7
648.38
648.71
648.87
649.1
649.67
649.82
649.98
649.97
649.95
649.65
649.36
648.92
649.77
649.3
649.74
649.84
649.61
648.8
649.4
648.99
648.67
648.29
648.65
648.67
648.43
648.62
648.54
648.49
648.41
648.1
648.47
647.77
648
647.56
647.2
648.07
647.32
647.1
646.27
645.96
646.08
645.8
645.96
645.45
645.67
646.09
645.52
645.16
644.72
644.87
645.24
645.37
645.65
645.46
645.53
645.71
646.12
646.53
646.05
645.45
646.15
646.46
646.39
645.99
646.1
646.36
646.26
646.1
646.15
646.59
646.46
646.37
646.28
645.9
646.06
645.42
646
645.83
645.31
645.74
645.41
644.77
644.12
645.13
645.44
644.8
645.08
644.07
644.78
644.82
644.79
644.8
644.78
644.93
644.18
644.38
643.48
644.6
644.41
644.6
644.62
645.32
644.88
645.3
645.3
645.66
646.23
647.68
647.36
647.24
647.77
648.24
649
648.71
649.15
649.59
650.39
650.31
650.6
649.85
650.91
650.24
650.3
650.26
650.34
649.23
650.34
650.39
650.26
649.33
649.54
649.18
649.41
648.51
648.66
648.32
647.99
648.18
648.22
647.47
647.79
647.24
646.82
646.99
646.96
646.75
645.58
645.97
645.58
645.07
645.4
645.48
644.79
644.47
645.09
643.95
644.19
644.45
644.03
643.54
642.76
642.94
642.99
642.68
642.32
643.35
642.44
642.19
641.85
641.87
641.52
641.3
641.67
641.49
641.07
640.35
640.63
640.6
640.94
641.22
640.63
640.09
640.78
641.21
641.27
640.45
640.97
641.82
641.38
641.25
641.86
641.56
641.28
641.05
641.74
641.3
641.43
641.77
641.87
641.33
641.83
642.08
641.54
641.69
641.78
642.89
642.58
642.55
642.23
642.67
643.21
643.75
643.39
643.5
643.44
643.84
644.25
644.07
644.07
644.8
643.89
644.8
644.66
644.02
644.72
644.02
645.11
645.4
644.67
645.01
644.9
644.94
645.51
645.4
645.85
646.11
646.23
646.62
646.29
646.42
646.42
646.43
647.17
647.85
648.03
647.75
647.82
647.05
647.97
647.74
647.74
648.43
