Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.803295,0.305122,0.48328,0.057631,-0.03861,-0.01619,20.262051,-38.410769,59.604702,0.689588,-0.184719,0.665432,0.218055
-9.816703,0.296783,0.485607,0.060786,-0.038886,-0.014674,20.383307,-38.293492,59.964235,0.689546,-0.184752,0.665445,0.218121
-9.786656,0.294582,0.519515,0.07777,-0.028028,-0.017998,20.401954,-38.437073,59.792264,0.689501,-0.184755,0.665488,0.218126
-9.764095,0.309853,0.51499,0.076203,-0.029475,-0.017914,20.417103,-38.420118,59.631159,0.68946,-0.184756,0.665527,0.218137
-9.778486,0.339042,0.517139,0.077622,-0.017893,-0.01614,20.548764,-38.590139,59.784424,0.689378,-0.184752,0.665609,0.218148
-9.813504,0.354401,0.496652,0.065167,-0.022087,-0.015918,20.242118,-38.26535,59.774054,0.689296,-0.184776,0.665673,0.218194
-9.797899,0.374317,0.478604,0.052796,-0.025151,-0.015994,20.08929,-38.414637,59.734104,0.689209,-0.18483,0.665721,0.218275
-9.755205,0.29731,0.460762,0.055924,-0.015962,-0.014653,20.093586,-38.265327,59.760601,0.6891,-0.184889,0.665797,0.218339
-9.772883,0.266079,0.519354,0.055983,-0.019219,-0.009753,20.094045,-38.577026,59.725831,0.689001,-0.184934,0.665861,0.218417
-9.83274,0.311175,0.49694,0.059203,-0.021488,-0.011725,20.083181,-38.444666,59.913439,0.688911,-0.184971,0.665922,0.218484
-9.785669,0.34316,0.474244,0.054403,-0.017386,-0.006385,20.260751,-38.408902,59.602105,0.688799,-0.185006,0.665998,0.218577
-9.800299,0.278376,0.56897,0.056013,-0.01476,-0.011639,20.398927,-38.588266,59.768365,0.688695,-0.185057,0.666068,0.218647
-9.814808,0.326251,0.53967,0.052896,-0.008203,-0.005119,20.398927,-38.588266,59.768365,0.68856,-0.185102,0.666164,0.218741
-9.767352,0.363829,0.577969,0.04047,0.000106,0.001335,20.564383,-38.884902,59.588562,0.688388,-0.185169,0.666277,0.21888
-9.757864,0.348066,0.562256,0.020442,-0.004924,-0.000696,20.39851,-38.743196,59.749676,0.688216,-0.185292,0.666359,0.219068
-9.728759,0.395536,0.524036,-0.001223,0.006121,-0.00123,20.248661,-38.74133,59.733615,0.687997,-0.185484,0.666454,0.219304
-9.710795,0.399,0.523923,-0.009061,0.008045,-0.007706,20.261634,-38.565688,59.586015,0.687773,-0.185716,0.666543,0.219541
-9.807311,0.43732,0.580222,-0.021406,0.015735,-0.00816,20.096632,-38.580773,59.731036,0.68752,-0.185988,0.666641,0.219804
-9.850762,0.43345,0.584681,-0.041437,0.007764,-0.005102,19.961938,-38.561941,59.553879,0.687271,-0.1863,0.666703,0.220133
-9.790907,0.412108,0.566725,-0.073918,0.012429,-0.010627,19.945484,-38.577027,59.712372,0.68699,-0.186718,0.666745,0.220529
-9.739208,0.310943,0.530652,-0.095667,0.020595,-0.017474,19.823844,-38.849201,59.334172,0.686676,-0.18722,0.666785,0.220956
-9.662679,0.243965,0.4564,-0.109537,0.021014,0.002175,19.958528,-38.868032,59.511314,0.686334,-0.187709,0.666829,0.221471
-9.658683,0.287548,0.346115,-0.12027,0.019226,0.008449,19.944233,-39.041817,59.656306,0.685983,-0.188209,0.666863,0.222032
-9.750719,0.306851,0.318942,-0.094048,0.01927,0.00234,19.84158,-38.836,59.178273,0.685655,-0.188654,0.666916,0.222508
-9.856196,0.305939,0.282745,-0.070906,0.021167,0.007759,20.125282,-39.166531,59.334123,0.685334,-0.189025,0.666998,0.222937
-9.899384,0.283912,0.271437,-0.060075,0.017936,0.006302,19.990181,-39.302618,59.138294,0.68503,-0.189368,0.667079,0.223336
-9.877336,0.335763,0.217397,-0.04463,0.01963,0.009847,19.839046,-39.298872,59.119631,0.68473,-0.189662,0.667181,0.223703
-9.840129,0.315567,0.168012,-0.042983,0.017554,0.0096,20.144786,-39.467003,59.146004,0.684436,-0.189951,0.667279,0.224066
-9.8124,0.301525,0.197325,-0.019764,0.012986,0.019945,19.842063,-39.614445,59.089984,0.684161,-0.190147,0.667392,0.224399
-9.850541,0.247387,0.255809,0.001866,0.008393,0.022082,20.00838,-39.601194,58.94758,0.683914,-0.190276,0.667514,0.224684
-9.902009,0.302106,0.219624,0.025052,-0.004131,0.021094,20.157353,-39.446198,58.97979,0.683715,-0.190336,0.667623,0.224913
-9.886943,0.360871,0.161072,0.02509,-0.010547,0.021148,20.022669,-39.427367,58.802649,0.683531,-0.190389,0.667717,0.225148
-9.836033,0.328321,0.183653,0.026673,-0.016961,0.021227,19.703945,-39.43496,58.923802,0.683366,-0.190433,0.667794,0.225382
-9.823836,0.289824,0.233267,0.046759,-0.012284,0.021412,19.872401,-39.580451,58.767861,0.683206,-0.190429,0.6679,0.225559
-9.79492,0.327157,0.253438,0.054432,-0.018181,0.023531,19.851678,-39.744708,58.899953,0.683065,-0.190392,0.667998,0.225726
-9.754212,0.343885,0.296148,0.05282,-0.022556,0.022176,19.680687,-39.595403,59.050717,0.682937,-0.190357,0.668081,0.225896
-9.751979,0.37668,0.33462,0.056008,-0.018337,0.02346,19.248859,-39.576728,58.846559,0.682802,-0.190312,0.668176,0.226059
-9.754869,0.42464,0.368448,0.042189,-0.028171,0.021568,19.368351,-39.612555,59.184746,0.682686,-0.190297,0.668231,0.226262
-9.807667,0.418113,0.350284,0.034425,-0.031036,0.023318,19.382272,-39.593647,59.02112,0.682569,-0.190296,0.668273,0.226491
-9.865192,0.42554,0.300622,0.037439,-0.022818,0.025051,19.397456,-39.576653,58.860088,0.68243,-0.190291,0.668342,0.226711
-9.816599,0.371807,0.278017,0.054372,-0.028812,0.02235,19.54434,-39.729549,58.852362,0.682321,-0.190246,0.668409,0.226879
-9.780619,0.307046,0.298593,0.056154,-0.037743,0.023527,19.703111,-39.744796,58.886427,0.682238,-0.19019,0.668452,0.22705
