timestamp,x,y,z
72805.6,0.208183,9.6410265,1.3711363
72810.5,0.26082698,9.664956,1.3400285
72815.4,0.23211208,9.684099,1.3687434
72820.2,0.234505,9.612311,1.2658484
72825.1,0.25125536,9.638634,1.3208853
72830,0.2632199,9.648206,1.3113136
72834.9,0.21296883,9.645813,1.3304569
72839.8,0.25604117,9.605133,1.3208853
72844.6,0.22732627,9.559668,1.3496002
72849.5,0.1196454,9.619491,1.3184924
72854.4,0.1459674,9.684099,1.3376356
72859.2,0.18186101,9.621883,1.3376356
72864.1,0.11485959,9.6410265,1.3902797
72869,0.10050214,9.52856,1.3759222
72873.9,0.11485959,9.526167,1.4357449
72878.8,0.11246668,9.504631,1.430959
72883.6,0.11485959,9.518989,1.4237803
72888.5,0.12682413,9.583597,1.4118158
72893.4,0.12443122,9.633848,1.4453164
72898.2,0.19143265,9.593168,1.4118158
72903.1,0.14118157,9.5907755,1.4046371
72908,0.16989647,9.643419,1.3591717
72912.9,0.18664683,9.664956,1.3160994
72917.8,0.18186101,9.686492,1.328064
72922.6,0.18903974,9.70085,1.3232782
72927.5,0.22732627,9.705635,1.304135
72932.4,0.21296883,9.708028,1.3137065
72937.2,0.234505,9.621883,1.354386
72942.1,0.25364825,9.593168,1.3902797
72947,0.19382556,9.578811,1.3663505
72951.9,0.20100428,9.547704,1.3759222
72956.8,0.20339718,9.509417,1.3783151
72961.6,0.18664683,9.473523,1.40703
72966.5,0.17707519,9.461558,1.4213874
72971.4,0.15314612,9.416093,1.430959
72976.2,0.17228939,9.459166,1.3759222
72981.1,0.19382556,9.502238,1.3496002
72986,0.18903974,9.523774,1.3519931
72990.9,0.16511066,9.511809,1.354386
72995.8,0.2057901,9.593168,1.3711363
73000.6,0.17946811,9.609919,1.3496002
73005.5,0.17228939,9.6003475,1.40703
73010.4,0.16989647,9.624276,1.3711363
73015.2,0.17468229,9.56924,1.430959
73020.1,0.15553902,9.605133,1.430959
73025,0.19621846,9.557275,1.3950654
73029.9,0.1483603,9.597955,1.4189945
73034.8,0.1459674,9.56206,1.3400285
73039.6,0.1196454,9.605133,1.3352427
73044.5,0.11246668,9.609919,1.2873845
73049.4,0.12682413,9.67692,1.3065279
73054.2,0.09571633,9.69367,1.2921704
73059.1,0.045465253,9.655384,1.2945633
73064,0.057429794,9.597955,1.3376356
73068.9,0.06460852,9.652991,1.3567789
73073.8,0.10050214,9.619491,1.3663505
73078.6,0.10289505,9.578811,1.4142087
73083.5,0.1459674,9.538132,1.4118158
73088.4,0.12921704,9.509417,1.4477094
73093.2,0.13639577,9.492666,1.4022441
73098.1,0.1459674,9.480701,1.4237803
73103,0.17707519,9.485488,1.3687434
73107.9,0.13400285,9.514202,1.380708
73112.8,0.14357449,9.5405245,1.354386
73117.6,0.13639577,9.56924,1.3663505
73122.5,0.11246668,9.612311,1.3639576
73127.4,0.16511066,9.58599,1.3759222
73132.2,0.11246668,9.645813,1.3950654
73137.1,0.13639577,9.645813,1.4189945
73142,0.069394335,9.645813,1.4142087
73146.9,0.107680865,9.605133,1.4237803
73151.8,0.07896597,9.652991,1.4094229
73156.6,0.09810923,9.583597,1.380708
73161.5,0.13160995,9.636241,1.4668527
73166.4,0.09332342,9.612311,1.4357449
73171.2,0.09332342,9.588383,1.4261732
73176.1,0.1172525,9.578811,1.4381378
73181,0.17468229,9.605133,1.4022441
73185.9,0.17946811,9.648206,1.3998512
73190.8,0.24886245,9.6410265,1.4189945
73195.6,0.22493336,9.578811,1.4022441
73200.5,0.21057591,9.516596,1.4477094
73205.4,0.17946811,9.583597,1.4142087
73210.2,0.17468229,9.552489,1.3687434
73215.1,0.16750357,9.56206,1.4022441
73220,0.17228939,9.564454,1.3519931
73224.9,0.16032484,9.588383,1.380708
73229.8,0.20100428,9.559668,1.4166015
73234.6,0.13400285,9.588383,1.3663505
73239.5,0.19621846,9.574025,1.4237803
73244.4,0.1459674,9.617098,1.4501023
73249.2,0.18186101,9.581204,1.4189945
73254.1,0.13400285,9.552489,1.40703
73258,0.16271774,9.619491,1.4716384
73262.8,0.13160995,9.597955,1.4405307
73267.5,0.16989647,9.624276,1.4022441
73272.2,0.16032484,9.581204,1.4524952
73277,0.18664683,9.526167,1.3878866
73281.8,0.16271774,9.52856,1.4429235
73286.5,0.21775463,9.535739,1.4213874
73291.2,0.1483603,9.5500965,1.4668527
73297,0.17946811,9.511809,1.4668527
73301.9,0.16989647,9.52856,1.4596739
73306.8,0.19143265,9.54531,1.4429235
73311.6,0.15793194,9.605133,1.433352
73316.5,0.17228939,9.605133,1.457281
73321.4,0.15075321,9.633848,1.430959
73326.2,0.2057901,9.67692,1.4453164
73331.1,0.15314612,9.629062,1.4907818
73336,0.21296883,9.614705,1.4955676
73340.9,0.13400285,9.58599,1.5075321
73345.8,0.19861138,9.557275,1.5506045
73350.6,0.13400285,9.533346,1.5003533
73355.5,0.15075321,9.54531,1.509925
73360.4,0.16989647,9.516596,1.5171037
73365.2,0.18664683,9.466345,1.4740313
73370.1,0.1459674,9.509417,1.4596739
73375,0.14118157,9.507024,1.4213874
73379.9,0.15075321,9.473523,1.4668527
73384.8,0.11485959,9.492666,1.4285661
73389.6,0.19143265,9.518989,1.4429235
73394.5,0.15793194,9.542917,1.4046371
73399.4,0.15553902,9.6003475,1.4261732
73404.2,0.1483603,9.631455,1.4453164
73409.1,0.11485959,9.667349,1.4453164
73414,0.18425392,9.705635,1.3998512
73418.9,0.14357449,9.7176,1.3711363
73423.8,0.19143265,9.736743,1.4046371
73428.6,0.17228939,9.703242,1.4022441
73433.5,0.22254045,9.6912775,1.4812101
73438.4,0.22254045,9.686492,1.4955676
73443.2,0.19621846,9.631455,1.4812101
73448.1,0.24407662,9.626669,1.4357449
73453,0.21536173,9.60274,1.5482116
73457.9,0.21536173,9.557275,1.6319634
73462.8,0.13878867,9.516596,1.5697477
73467.6,0.1459674,9.530953,1.4285661
73472.5,0.1459674,9.542917,1.4142087
73477.4,0.12203831,9.612311,1.4046371
