Time (s) Auto,FN
3.396,-2.16
3.398,-1.78
3.4,-1.51
3.402,-2.16
3.404,-2.08
3.406,-2.08
3.408,-1.72
3.41,-1.83
3.412,-1.83
3.414,-1.75
3.416,-2.05
3.418,-2.53
3.42,-1.96
3.422,-2.08
3.424,-1.97
3.426,-1.67
3.428,-1.7
3.43,-1.75
3.432,-1.75
3.434,-1.56
3.436,-2.02
3.438,-1.78
3.44,-2.35
3.442,-1.59
3.444,-2.19
3.446,-2.05
3.448,-1.89
3.45,-2.16
3.452,-1.97
3.454,-1.94
3.456,-1.72
3.458,-1.51
3.46,-1.64
3.462,-1.99
3.464,-2.07
3.466,-1.7
3.468,-1.8
3.47,-1.72
3.472,-2
3.474,-1.92
3.476,-1.67
3.478,-1.86
3.48,-1.81
3.482,-2.05
3.484,-1.15
3.486,-1.78
3.488,-1.56
3.49,-1.4
3.492,-1.43
3.494,-1.37
3.496,-1.99
3.498,-1.64
3.5,-1.67
3.502,-1.75
3.504,-1.97
3.506,-1.51
3.508,-2.08
3.51,-1.67
3.512,-1.75
3.514,-1.37
3.516,-2.07
3.518,5.83
3.52,122.9
3.522,414.24
3.524,361.85
3.526,475.85
3.528,677.21
3.53,757.67
3.532,741.44
3.534,798.75
3.536,945.67
3.538,938.46
3.54,937.97
3.542,1050.04
3.544,1075.78
3.546,1124.84
3.548,1235.48
3.55,1347.64
3.552,1383.34
3.554,1385.55
3.556,1428.7
3.558,1541.26
3.56,1620.75
3.562,1664.59
3.564,1679.86
3.566,1695.62
3.568,1736.12
3.57,1781.71
3.572,1815.56
3.574,1857.03
3.576,1925.98
3.578,2014.71
3.58,2097.7
3.582,2186.86
3.584,2327.53
3.586,2480.16
3.588,2684.02
3.59,2921.3
3.592,3107.75
3.594,3240.24
3.596,3311.9
3.598,3371.26
3.6,3405.39
3.602,3345.68
3.604,3252.43
3.606,3169.85
3.608,3056.32
3.61,2898.96
3.612,2746.43
3.614,2631.47
3.616,2522.62
3.618,2416.93
3.62,2325.06
3.622,2258.22
3.624,2191.54
3.626,2138.9
3.628,2115.25
3.63,2101.59
3.632,2086.22
3.634,2047.77
3.636,2017.84
3.638,2005.68
3.64,1991.3
3.642,1969.62
3.644,1960.46
3.646,1956.33
3.648,1942.96
3.65,1926.76
3.652,1920.28
3.654,1921.75
3.656,1917.94
3.658,1908.55
3.66,1902.49
3.662,1903.48
3.664,1903.64
3.666,1899.06
3.668,1893.79
3.67,1888.6
3.672,1886.39
3.674,1881.31
3.676,1872.04
3.678,1860.95
3.68,1850.31
3.682,1843.08
3.684,1833.15
3.686,1819.68
3.688,1805.05
3.69,1789.61
3.692,1776.72
3.694,1762.33
3.696,1751.62
3.698,1742.47
3.7,1733.58
3.702,1727.37
3.704,1718.14
3.706,1708.2
3.708,1702.33
3.71,1702.88
3.712,1698.94
3.714,1684.24
3.716,1669.46
3.718,1653.15
3.72,1627.95
3.722,1615.63
3.724,1617.14
3.726,1616.15
3.728,1595.59
3.73,1573.87
3.732,1560.58
3.734,1541.24
3.736,1519.09
3.738,1500.26
3.74,1481.92
3.742,1459.23
3.744,1437
3.746,1420.36
3.748,1403.77
3.75,1385.57
3.752,1372.86
3.754,1356.07
3.756,1331.12
3.758,1302.34
3.76,1285.04
3.762,1268.31
3.764,1248.77
3.766,1230.59
3.768,1216.49
3.77,1200.88
3.772,1181.48
3.774,1163.29
3.776,1148.26
3.778,1132.59
3.78,1116.37
3.782,1099.65
3.784,1083.07
3.786,1069.2
3.788,1054.13
3.79,1039.16
3.792,1024.07
3.794,1009.73
3.796,995.84
3.798,982.88
3.8,971.07
3.802,958.69
3.804,945.9
3.806,932.99
3.808,920.52
3.81,908.63
3.812,897.9
3.814,887.88
3.816,877.87
3.818,867.14
3.82,856.13
3.822,845.95
3.824,836.03
3.826,827.37
3.828,818.32
3.83,809.1
3.832,800.41
3.834,790.05
3.836,780.56
3.838,771.17
3.84,761.02
3.842,750.38
3.844,740
3.846,729.91
3.848,717.93
3.85,707.39
3.852,696.73
3.854,686.59
3.856,677.05
3.858,667.09
3.86,656.84
3.862,647.66
3.864,637.74
3.866,627.99
3.868,618.98
3.87,610.46
3.872,601.18
3.874,593.06
3.876,585.58
3.878,577.65
3.88,570.04
3.882,562.86
3.884,555.87
3.886,549
3.888,542.28
3.89,535.69
3.892,530.5
3.894,524.35
3.896,518.49
3.898,513.4
3.9,508.72
3.902,504.08
3.904,499.52
3.906,495.77
3.908,491.54
3.91,487.67
3.912,484.01
3.914,480.31
3.916,477.01
3.918,473.74
3.92,471.29
3.922,468.49
3.924,466.96
3.926,465.57
3.928,464.45
3.93,462.98
3.932,462.67
3.934,462.38
3.936,462.59
3.938,462.9
3.94,464.03
3.942,464.34
3.944,465.12
3.946,466.56
3.948,467.93
3.95,469.25
3.952,472.09
3.954,473.91
3.956,476.34
3.958,479.41
3.96,483.18
3.962,489.08
3.964,495.55
3.966,501.49
3.968,508.5
3.97,515.58
3.972,521.74
3.974,528.96
3.976,536.86
3.978,543.95
3.98,549.87
3.982,558.12
3.984,566.27
3.986,574.12
3.988,581.66
3.99,589.99
3.992,598.18
3.994,606.48
3.996,615.48
3.998,622.91
4,630.63
4.002,639.1
4.004,647.54
4.006,655.92
4.008,671.8
4.01,685.65
4.012,698.01
4.014,709.55
4.016,723.58
4.018,737.23
4.02,753.76
4.022,769.55
4.024,784.85
4.026,799.92
4.028,814.67
4.03,831.47
4.032,845.48
4.034,857.26
4.036,869.95
4.038,884.21
4.04,895.21
4.042,904.01
4.044,913.45
4.046,924.98
4.048,934.59
4.05,941.33
4.052,948.5
4.054,958.51
4.056,967.03
4.058,974.44
4.06,980.9
4.062,987.98
4.064,994.43
4.066,1000.92
4.068,1005.03
4.07,1010
4.072,1015.13
4.074,1020.37
4.076,1024.78
4.078,1027.83
4.08,1030.79
4.082,1034.12
4.084,1038.7
4.086,1043.76
4.088,1047.99
4.09,1052.66
4.092,1057.46
4.094,1061.03
4.096,1065.1
4.098,1069.11
4.1,1072.66
4.102,1075.96
4.104,1078.69
4.106,1081.72
4.108,1083.48
4.11,1084.35
4.112,1084.85
4.114,1085.25
4.116,1085.93
4.118,1084.88
4.12,1083.33
4.122,1080.64
4.124,1078.08
4.126,1074.87
4.128,1071.36
4.13,1066.65
4.132,1062.3
4.134,1057.21
4.136,1051.31
4.138,1045.71
4.14,1039.48
4.142,1033.31
4.144,1026.7
4.146,1020.04
4.148,1013.23
4.15,1006.08
4.152,998.98
4.154,991.67
4.156,984.28
4.158,976.34
4.16,968.68
4.162,960.77
4.164,953.06
4.166,944.83
4.168,936.6
4.17,928.26
4.172,919.76
4.174,912.25
4.176,903.88
4.178,895.51
4.18,887.93
4.182,879.8
4.184,871.87
4.186,863.77
4.188,856.76
4.19,849.44
4.192,841.54
4.194,835.17
4.196,828.35
4.198,820.28
4.2,813.84
4.202,807.72
4.204,801.63
4.206,795.35
4.208,789.02
4.21,784.17
4.212,779.14
4.214,773.84
4.216,769.13
4.218,765.43
4.22,760.53
4.222,756.91
4.224,753.13
4.226,750.1
4.228,746.54
4.23,743.7
4.232,740.57
4.234,737.96
4.236,735.85
4.238,733.37
4.24,732.17
4.242,730.77
4.244,729.98
4.246,729.05
4.248,729.15
4.25,729.46
4.252,729.13
4.254,729.61
4.256,730.12
4.258,730.85
4.26,731.41
4.262,732.54
4.264,733.7
4.266,735
4.268,737.03
4.27,738.35
4.272,740.84
4.274,743.14
4.276,745.11
4.278,747.84
4.28,749.92
4.282,752.85
4.284,754.81
4.286,757.22
4.288,759.82
4.29,762.25
4.292,763.84
4.294,766.64
4.296,768.89
4.298,771.91
4.3,774.51
4.302,777.01
4.304,779.82
4.306,783.33
4.308,786.38
4.31,789.3
4.312,792.9
4.314,796.9
4.316,800.92
4.318,804.35
4.32,808.41
4.322,811.73
4.324,815.89
4.326,819.24
4.328,822.44
4.33,825.47
4.332,828.52
4.334,831.97
4.336,835.16
4.338,837.84
4.34,841.38
4.342,844.94
4.344,849.05
4.346,852.56
4.348,856.09
4.35,859.39
4.352,861.87
4.354,865.92
4.356,868.34
4.358,871.42
4.36,873.36
4.362,876.32
4.364,878.47
4.366,880.27
4.368,881.82
4.37,884.54
4.372,886.2
4.374,888.32
4.376,889.82
4.378,891.26
4.38,892.24
4.382,893.79
4.384,894.76
4.386,895.59
4.388,896.05
4.39,897.36
4.392,897.55
4.394,898.45
4.396,899
4.398,898.98
4.4,899.36
4.402,899.8
4.404,900.01
4.406,900.34
4.408,900.35
4.41,900.3
4.412,899.91
4.414,899.48
4.416,899.86
4.418,898.82
4.42,899.01
4.422,898.33
4.424,898.45
4.426,898.15
4.428,897.75
4.43,897.54
4.432,897.16
4.434,896.46
4.436,896.44
4.438,896.75
4.44,895.7
4.442,895.32
4.444,895.44
4.446,894.95
4.448,894.31
4.45,894.07
4.452,893.21
4.454,893.02
4.456,892.3
4.458,892.17
4.46,892.44
4.462,891.61
4.464,891.31
4.466,890.89
4.468,890.22
4.47,889.49
4.472,888.14
4.474,887.54
4.476,886.01
4.478,885.01
4.48,883.47
4.482,882.36
4.484,881.41
4.486,879.77
4.488,878.47
4.49,876.57
4.492,875.44
4.494,874.23
4.496,872.25
4.498,870.4
4.5,868.95
4.502,866.98
4.504,865.46
4.506,863.92
4.508,862.03
4.51,860.57
4.512,859.17
4.514,857.82
4.516,856.6
4.518,854.96
4.52,853.41
4.522,852.42
4.524,850.58
4.526,849.18
4.528,847.73
4.53,845.7
4.532,845
4.534,843.49
4.536,842.5
4.538,841.21
4.54,839.84
4.542,838.63
4.544,836.74
4.546,834.93
4.548,834.06
4.55,832.98
4.552,832.11
4.554,831.68
4.556,830.37
4.558,829.57
4.56,827.97
4.562,827.43
4.564,826.58
4.566,825.78
4.568,825.31
4.57,824.81
4.572,824.45
4.574,824.81
4.576,824.96
4.578,824.93
4.58,825.41
4.582,826.12
4.584,827.11
4.586,827.86
4.588,828.82
4.59,829.51
4.592,830.63
4.594,831.46
4.596,832.72
4.598,834.19
4.6,834.98
4.602,836.02
4.604,837.33
4.606,839.34
4.608,840.44
4.61,841.1
4.612,842.24
4.614,843.34
4.616,843.86
4.618,844.49
4.62,844.57
4.622,845.89
4.624,846.21
4.626,846.66
4.628,847.4
4.63,847.13
4.632,847.44
4.634,847.98
4.636,847.92
4.638,848.57
4.64,847.92
4.642,848.58
4.644,849.32
4.646,849.56
4.648,850.35
4.65,850.3
4.652,850.77
4.654,852.1
4.656,852.87
4.658,853.14
4.66,854.09
4.662,855.99
4.664,856.89
4.666,857.62
4.668,858.73
4.67,860.2
4.672,861.8
4.674,862.8
4.676,863.59
4.678,865.37
4.68,866.85
4.682,868.75
4.684,870.87
4.686,873.25
4.688,874.48
4.69,876.27
4.692,877.77
4.694,879.15
4.696,879.72
4.698,881.71
4.7,882.85
4.702,883.37
4.704,884.62
4.706,885.08
4.708,885.9
4.71,886.39
4.712,887.18
4.714,887.15
4.716,887.42
4.718,887.59
4.72,887.48
4.722,887.29
4.724,886.77
4.726,886.15
4.728,885.64
4.73,885.28
4.732,884.44
4.734,883.89
4.736,883.32
4.738,882.39
4.74,881.77
4.742,881.32
4.744,880.21
4.746,879.87
4.748,879.14
4.75,878.75
4.752,878.4
4.754,878.01
4.756,877.68
4.758,876.94
4.76,876.4
4.762,875.66
4.764,875.47
4.766,874.87
4.768,874.24
4.77,873.94
4.772,873.04
4.774,872.12
4.776,871.4
4.778,871.27
4.78,870.12
4.782,869.5
4.784,868.97
4.786,868.45
4.788,867.77
4.79,867.3
4.792,866.96
4.794,866.14
4.796,866.02
4.798,864.99
4.8,864.57
4.802,863.89
4.804,863.28
4.806,862.76
4.808,862.26
4.81,862.09
4.812,861.65
4.814,861.48
4.816,860.63
4.818,860.52
4.82,860.1
4.822,860.04
4.824,859.42
4.826,858.92
4.828,858.43
4.83,857.77
4.832,857.31
4.834,856.6
4.836,855.81
4.838,855.57
4.84,855.29
4.842,854.91
4.844,854.48
4.846,854.72
4.848,853.55
4.85,853.4
4.852,853.57
4.854,853.86
4.856,853.59
4.858,853.8
4.86,853.58
4.862,854.13
4.864,853.8
4.866,854.63
4.868,854.36
4.87,855.31
4.872,855.01
4.874,855.87
4.876,856.17
4.878,856.71
4.88,857.62
4.882,857.84
4.884,858.46
4.886,859.33
4.888,859.87
4.89,859.92
4.892,860.44
4.894,860.92
4.896,860.89
4.898,861.67
4.9,861.35
4.902,861.62
4.904,862.51
4.906,862.56
4.908,862.97
4.91,862.92
4.912,862.59
4.914,863.51
4.916,863.4
4.918,863.24
4.92,863.46
4.922,863.84
4.924,863.14
4.926,863.22
4.928,863.25
4.93,863.28
4.932,863.36
4.934,863.49
4.936,863.74
4.938,863.71
4.94,864.16
4.942,864.19
4.944,864.72
4.946,865.31
4.948,865.03
4.95,865.46
4.952,865.75
4.954,865.93
4.956,866.41
4.958,867.06
4.96,867.1
4.962,868.09
4.964,868.3
4.966,868.61
4.968,868.84
4.97,869.32
4.972,869.64
4.974,869.78
4.976,869.75
4.978,869.69
4.98,870.03
4.982,870.26
4.984,869.88
4.986,870.55
4.988,870.13
4.99,870.16
4.992,870.56
4.994,870.8
4.996,870.47
4.998,870.84
5,871.08
5.002,871.51
5.004,871.29
5.006,871.37
5.008,872.25
5.01,872.3
5.012,872.49
5.014,872.65
5.016,873.08
5.018,872.69
5.02,872.94
5.022,872.2
5.024,872.19
5.026,872.27
5.028,871.69
5.03,871.11
5.032,870.81
5.034,870.42
5.036,869.74
5.038,869.26
5.04,868.88
5.042,867.86
5.044,867.2
5.046,867
5.048,865.94
5.05,865.22
5.052,865.08
5.054,864.34
5.056,863.58
5.058,862.75
5.06,862.47
5.062,862.25
5.064,861.81
5.066,860.77
5.068,860.95
5.07,860.25
5.072,859.53
5.074,859.33
5.076,859.17
5.078,859.03
5.08,858.56
5.082,858.64
5.084,859.04
5.086,859.09
5.088,858.84
5.09,859.32
5.092,859.64
5.094,859.59
5.096,859.12
5.098,860.28
5.1,860.47
5.102,861.11
5.104,860.48
5.106,860.81
5.108,861.02
5.11,861.15
5.112,860.85
5.114,861.15
5.116,860.85
5.118,861.07
5.12,861.36
5.122,861.2
5.124,860.88
5.126,861.14
5.128,860.71
5.13,860.77
5.132,861.1
5.134,860.89
5.136,861.13
5.138,861.08
5.14,861.37
5.142,861.52
5.144,862.19
5.146,862.14
5.148,862.93
5.15,862.6
5.152,863.68
5.154,864.28
5.156,864.57
5.158,865.14
5.16,866.05
5.162,866.05
5.164,866.83
5.166,867.36
5.168,867.87
5.17,867.81
5.172,867.29
5.174,867.47
5.176,867.25
5.178,867.57
5.18,866.88
5.182,866.83
5.184,866.74
5.186,866.02
5.188,865.77
5.19,865.76
5.192,865.41
5.194,865.02
5.196,864.98
5.198,864.7
5.2,864.1
5.202,864.07
5.204,863.63
5.206,863.76
5.208,863.59
5.21,863.26
5.212,863.67
5.214,863.48
5.216,863.39
5.218,863.55
5.22,863.39
5.222,863.93
5.224,864.41
5.226,864.54
5.228,865.14
5.23,866.14
5.232,865.72
5.234,866.51
5.236,866.88
5.238,867.2
5.24,866.87
5.242,867.3
5.244,867.41
5.246,867.54
5.248,867.05
5.25,867.47
5.252,867.01
5.254,866.76
5.256,866.16
5.258,865.61
5.26,865.88
5.262,865.47
5.264,864.35
5.266,864.75
5.268,863.99
5.27,864.01
5.272,863.47
5.274,863.6
5.276,862.97
5.278,862.75
5.28,862.91
5.282,862.83
5.284,862.99
5.286,862.28
5.288,862.25
5.29,861.9
5.292,862.51
5.294,862.84
5.296,863.27
5.298,863.18
5.3,863.74
5.302,863.84
5.304,863.89
5.306,864.75
5.308,864.33
5.31,864.62
5.312,864.59
5.314,864.47
5.316,864.84
5.318,864.94
5.32,864.82
5.322,864.52
5.324,865.08
5.326,864.17
5.328,864.32
5.33,864.37
5.332,863.55
5.334,863.51
5.336,863.31
5.338,863.08
5.34,862.96
5.342,862.51
5.344,862.38
5.346,861.8
5.348,861.76
5.35,860.94
5.352,860.93
5.354,860.57
5.356,860.46
5.358,860.37
5.36,859.93
5.362,860.19
5.364,859.87
5.366,859.7
5.368,860.05
5.37,859.69
5.372,859.87
5.374,860.25
5.376,859.95
5.378,859.86
5.38,859.86
5.382,859.23
5.384,859.8
5.386,859.61
5.388,859.49
5.39,858.84
5.392,859.03
5.394,859.08
5.396,858.66
5.398,858.93
5.4,858.38
5.402,858.52
5.404,858.89
5.406,858.69
5.408,859.14
5.41,859.11
5.412,858.86
5.414,859.09
5.416,858.87
5.418,858.92
5.42,858.9
5.422,858.44
5.424,858.51
5.426,857.94
5.428,858.77
5.43,858.3
5.432,858.91
5.434,858.98
5.436,859
5.438,858.99
5.44,859.39
5.442,859.63
5.444,860.08
5.446,859.96
5.448,860.93
5.45,860.92
5.452,861.48
5.454,862.35
5.456,862.04
5.458,862.71
5.46,862.94
5.462,863.83
5.464,864.38
5.466,864.59
5.468,864.89
5.47,865.09
5.472,865.52
5.474,865.86
5.476,865.41
5.478,865.84
5.48,865.5
5.482,865.68
5.484,865.76
5.486,865.52
5.488,865.16
5.49,864.48
5.492,864.68
5.494,864.32
5.496,864.18
5.498,863.52
5.5,863.43
5.502,862.61
5.504,862.2
5.506,862.43
5.508,861.89
5.51,860.98
5.512,860.71
5.514,860.06
5.516,860.04
5.518,859.42
5.52,859.33
5.522,858.85
5.524,858.92
5.526,858.64
5.528,858.43
5.53,858.59
5.532,858.99
5.534,859.1
5.536,859.42
5.538,860.26
5.54,860.63
5.542,861.93
5.544,862
5.546,863.24
5.548,863.7
5.55,865.18
5.552,865.69
5.554,866.55
5.556,868.05
5.558,868.43
5.56,869.34
5.562,870.33
5.564,870.79
5.566,872.15
5.568,872.12
5.57,872.27
5.572,872.88
5.574,873.17
5.576,873.27
5.578,873.31
5.58,872.79
5.582,872.68
5.584,873.05
5.586,872.58
5.588,871.95
5.59,871.53
5.592,871.52
5.594,870.68
5.596,870.18
5.598,869.82
5.6,869.14
5.602,868.43
5.604,867.72
5.606,866.99
5.608,866.77
5.61,865.19
5.612,865.11
5.614,864.13
5.616,862.93
5.618,862.83
5.62,862.42
5.622,861.8
5.624,861.52
5.626,860.85
5.628,860.69
5.63,860.77
5.632,860.47
5.634,859.82
5.636,860.36
5.638,860.1
5.64,859.99
5.642,860.05
5.644,860.4
5.646,860.56
5.648,860.7
5.65,860.87
5.652,861.06
5.654,862.14
5.656,861.82
5.658,861.9
5.66,863.04
5.662,863.56
5.664,863.86
5.666,864.43
5.668,864.81
5.67,865.27
5.672,865.26
5.674,865.88
5.676,866
5.678,866.24
5.68,866.32
5.682,866.64
5.684,867.1
5.686,866.53
5.688,867.66
5.69,867.37
5.692,866.85
5.694,866.74
5.696,866.71
5.698,867.25
5.7,866.82
5.702,866.33
5.704,866.52
5.706,866.41
5.708,866.14
5.71,865.87
5.712,865.84
5.714,865.28
5.716,865.55
5.718,865.17
5.72,865.06
5.722,865.12
5.724,864.85
5.726,864.61
5.728,864.51
5.73,864.61
5.732,864.54
5.734,865.3
5.736,865.57
5.738,865.52
5.74,865.76
5.742,865.98
5.744,866.04
5.746,866.93
5.748,867.23
5.75,867.77
5.752,867.56
5.754,868.02
5.756,868.29
5.758,868.45
5.76,868.83
5.762,868.56
5.764,868.45
5.766,868.53
5.768,868.34
5.77,868.56
5.772,869.31
5.774,868.31
5.776,868.68
5.778,868.11
5.78,868.46
5.782,868.28
5.784,868.55
5.786,867.84
5.788,867.4
5.79,867.67
5.792,867.53
5.794,867.13
5.796,866.83
5.798,867.23
5.8,866.66
5.802,866.52
5.804,866.6
5.806,866.6
5.808,866.14
5.81,866.22
5.812,866.05
5.814,865.4
5.816,865.73
5.818,866.48
5.82,865.82
5.822,865.67
5.824,865.86
5.826,865.72
5.828,865.6
5.83,865.2
5.832,865.47
5.834,865.1
5.836,865.34
5.838,865.12
5.84,864.34
5.842,864.78
5.844,864.73
5.846,864.27
5.848,864.37
5.85,864.05
5.852,864.01
5.854,863.9
5.856,863.17
5.858,863.48
5.86,863.65
5.862,863.35
5.864,862.92
5.866,863.71
5.868,863.09
5.87,863.61
5.872,863.26
5.874,863.46
5.876,863.78
5.878,863.65
5.88,864.25
5.882,864.49
5.884,864.66
5.886,865.15
5.888,865.26
5.89,865.31
5.892,865.31
5.894,865.61
5.896,865.32
5.898,865.32
5.9,865.48
5.902,865.97
5.904,865.56
5.906,865.51
5.908,865.7
5.91,865.38
5.912,865.16
5.914,865.36
5.916,864.81
5.918,865.22
5.92,864.84
5.922,865.09
5.924,864.88
5.926,865.07
5.928,864.69
5.93,864.39
5.932,864.86
5.934,864.18
5.936,864.73
5.938,864.46
5.94,864.52
5.942,864.03
5.944,864.22
5.946,864.57
5.948,864.25
5.95,864.65
5.952,864.14
5.954,864.58
5.956,864.28
5.958,864.58
5.96,864.66
5.962,865.18
5.964,864.89
5.966,865.81
5.968,865.27
5.97,866.08
5.972,866.06
5.974,866.41
5.976,866.82
5.978,866.77
5.98,867.31
5.982,867.88
5.984,867.71
5.986,868.26
5.988,867.96
5.99,868.23
5.992,868.77
5.994,868.88
5.996,869.29
5.998,869.49
6,869.22
6.002,869.79
6.004,869.57
6.006,869.66
6.008,869.57
6.01,869.6
6.012,869.27
6.014,868.92
6.016,868.89
6.018,868.73
6.02,868.7
6.022,868.29
6.024,868.24
6.026,867.47
6.028,867.57
6.03,867.53
6.032,866.98
6.034,866.17
6.036,866.11
6.038,865.87
6.04,865.16
6.042,864.65
6.044,863.92
6.046,863.67
6.048,863.1
6.05,863.18
6.052,862.85
6.054,862.5
6.056,862.15
6.058,862.15
6.06,862.42
6.062,862.07
6.064,862.2
6.066,862.52
6.068,862.28
6.07,862.31
6.072,861.79
6.074,861.65
6.076,862.33
6.078,862.25
6.08,862.41
6.082,862.25
6.084,862.71
6.086,862.87
6.088,862.22
6.09,862.61
6.092,862.71
6.094,862.88
6.096,863.23
6.098,863.33
6.1,863.33
6.102,863.74
6.104,863.17
6.106,863.69
6.108,863.74
6.11,863.67
6.112,863.33
6.114,864.09
6.116,864.2
6.118,864.17
6.12,864.42
6.122,864.83
6.124,864.96
6.126,864.77
6.128,865.5
6.13,865.01
6.132,865.74
6.134,865.6
6.136,865.76
6.138,865.98
6.14,865.95
6.142,865.89
6.144,866.18
6.146,866.21
6.148,866.04
6.15,866.37
6.152,866.31
6.154,866.57
6.156,866.65
6.158,866.84
6.16,866.64
6.162,867.31
6.164,867.01
6.166,867.06
6.168,867.25
6.17,867.32
6.172,867.16
6.174,866.96
6.176,867.15
6.178,866.71
6.18,866.68
6.182,866.38
6.184,866.18
6.186,866.97
6.188,865.78
6.19,866.04
6.192,865.5
6.194,865.79
6.196,865.3
6.198,865.17
6.2,865.24
6.202,864.48
6.204,864.58
6.206,865.1
6.208,865.23
6.21,864.66
6.212,864.74
6.214,864.45
6.216,864.15
6.218,864.15
6.22,864.52
6.222,863.96
6.224,864.52
6.226,864.38
6.228,863.79
6.23,864.38
6.232,864.73
6.234,864.52
6.236,864.7
6.238,865.51
6.24,865.1
6.242,865.83
6.244,866.02
6.246,866.28
6.248,866.28
6.25,866.52
6.252,866.62
6.254,866.78
6.256,866.46
6.258,866.89
6.26,866.83
6.262,866.74
6.264,866.66
6.266,866.62
6.268,866.46
6.27,866.19
6.272,866.54
6.274,866.32
6.276,866.2
6.278,866.45
6.28,866.26
6.282,865.48
6.284,865.23
6.286,865.33
6.288,865.11
6.29,865.16
6.292,864.75
6.294,864.89
6.296,864.96
6.298,864.77
6.3,865.47
6.302,864.85
6.304,864.55
6.306,864.55
6.308,864.84
6.31,864.65
6.312,864.81
6.314,864.51
6.316,864.81
6.318,865.24
6.32,864.64
6.322,865.1
6.324,864.37
6.326,865.02
6.328,864.69
6.33,864.96
6.332,865.29
6.334,865.12
6.336,864.77
6.338,865.01
6.34,864.79
6.342,864.55
6.344,864.99
6.346,864.99
6.348,865.07
6.35,865.37
6.352,864.83
6.354,865.48
6.356,865.18
6.358,865.32
6.36,865.42
6.362,865.26
6.364,865.51
6.366,866.13
6.368,865.89
6.37,865.78
6.372,865.83
6.374,865.72
6.376,865.84
6.378,865.89
6.38,865.94
6.382,866.21
6.384,865.89
6.386,866.24
6.388,866.05
6.39,866.7
6.392,866.54
6.394,865.99
6.396,865.81
6.398,866.12
6.4,866.04
6.402,866.23
6.404,865.79
6.406,866.01
6.408,865.69
6.41,865.2
6.412,864.87
6.414,865.14
6.416,864.74
6.418,864.59
6.42,864.63
6.422,864.95
6.424,864.89
6.426,864.62
6.428,864.4
6.43,863.97
6.432,863.86
6.434,864.01
6.436,863.54
6.438,863.18
6.44,863.42
6.442,863.26
6.444,863.42
6.446,863.74
6.448,863.53
6.45,863.8
6.452,863.74
6.454,863.69
6.456,864.24
6.458,864.34
6.46,864.36
6.462,864.18
6.464,864.58
6.466,864.87
6.468,864.91
6.47,864.74
6.472,865.17
6.474,864.71
6.476,864.9
6.478,864.93
6.48,865.6
6.482,865.14
6.484,865.73
6.486,865.57
6.488,865.33
6.49,865.33
6.492,865.62
6.494,865.27
6.496,865.41
6.498,865.83
6.5,865.24
6.502,866.05
6.504,865.62
6.506,865.78
6.508,865.31
6.51,866.07
6.512,865.37
6.514,865.8
6.516,865.85
6.518,866.1
6.52,866.37
6.522,865.74
6.524,866.1
6.526,866.23
6.528,865.95
6.53,866.41
6.532,866.06
6.534,866.57
6.536,866.36
6.538,866.11
6.54,866.29
6.542,865.89
6.544,865.7
6.546,865.97
6.548,866.39
6.55,866.12
6.552,866.26
6.554,866.07
6.556,866.45
6.558,865.9
6.56,865.99
6.562,865.79
6.564,866.66
6.566,866.31
6.568,865.7
6.57,866.46
6.572,866.3
6.574,865.97
6.576,866.11
6.578,866.46
6.58,866.1
6.582,866.32
6.584,866.83
6.586,866.2
6.588,865.97
6.59,866.37
6.592,866.07
6.594,866.21
6.596,866.26
6.598,865.64
6.6,865.58
6.602,865.69
6.604,865.72
6.606,865.77
6.608,865.23
6.61,865.9
6.612,865.63
6.614,865.8
6.616,865.28
6.618,866.25
6.62,865.96
6.622,866.18
6.624,866.2
6.626,866.55
6.628,865.53
6.63,866.44
6.632,866.55
6.634,866.42
6.636,866.44
6.638,866.47
6.64,866.12
6.642,866.39
6.644,866.11
6.646,866.03
6.648,866.33
6.65,865.89
6.652,866.02
6.654,865.86
6.656,865.65
6.658,865.68
6.66,865.68
6.662,865.86
6.664,865.75
6.666,865.78
6.668,866.32
6.67,865.32
6.672,865.54
6.674,865.84
6.676,865.18
6.678,865.94
6.68,865.75
6.682,865.48
6.684,866.13
6.686,866.12
6.688,866.1
6.69,865.99
6.692,866.77
6.694,866.37
6.696,866.31
6.698,866.72
6.7,866.55
6.702,866.98
6.704,866.81
6.706,866.76
6.708,867.25
6.71,866.73
6.712,866.94
6.714,866.94
6.716,866.56
6.718,867.07
6.72,866.45
6.722,866.2
6.724,866.31
6.726,866.28
6.728,865.95
6.73,865.49
6.732,865.25
6.734,865.38
6.736,865.38
6.738,865.05
6.74,864.75
6.742,864.37
6.744,863.53
6.746,863.96
6.748,863.9
6.75,863.53
6.752,863.42
6.754,863.47
6.756,863.46
6.758,862.97
6.76,863.05
6.762,862.8
6.764,862.8
6.766,862.9
6.768,862.42
6.77,862.77
6.772,862.82
6.774,862.71
6.776,862.6
6.778,862.82
6.78,863.03
6.782,862.84
6.784,863.43
6.786,863.46
6.788,863.7
6.79,863.79
6.792,864.27
6.794,864.29
6.796,864.56
6.798,864.94
6.8,865.04
6.802,865.15
6.804,865.39
6.806,865.5
6.808,865.6
6.81,865.71
6.812,866.11
6.814,865.84
6.816,866.22
6.818,866.4
6.82,866.21
6.822,866.24
6.824,865.89
6.826,866.45
6.828,866.29
6.83,866.12
6.832,865.68
6.834,866.09
6.836,866.23
6.838,865.38
6.84,865.9
