PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3387,845236023,0.161433,0.734273,-0.133084,0.645813,35.5645256,3.045725107,-12.88711834,102.5706558,-36.34289551,5.061553955,-0.535400391,-0.603271484,0.172851563
3388,845244356,0.155323,0.737233,-0.129424,0.644682,32.56624603,-1.820804238,-10.47907066,98.92881775,-41.39557648,9.637634277,-0.536865234,-0.605224609,0.181152344
3389,845252689,0.149226,0.740192,-0.124827,0.643636,23.21994209,-4.074935913,-11.90599442,107.2106018,-38.50748825,0.214265525,-0.537597656,-0.608642578,0.189697266
3390,845261022,0.143546,0.74322,-0.119499,0.64245,16.7439518,-0.82435298,-9.959291458,109.3609467,-38.32397842,-11.32051373,-0.538085938,-0.612060547,0.200683594
3391,845269355,0.138283,0.746413,-0.114121,0.640878,15.02544975,2.369070292,-8.066782951,105.2064133,-42.95161438,-16.54092979,-0.5390625,-0.617919922,0.209960938
3392,845277688,0.133676,0.749307,-0.109248,0.639325,15.37384796,3.811655521,-8.268310547,93.46287537,-40.04377365,-16.64971733,-0.540771484,-0.620849609,0.218994141
3393,845286021,0.129866,0.751364,-0.105391,0.638343,15.8832674,4.460127354,-9.266952515,75.66991425,-27.47511673,-10.86907959,-0.539306641,-0.626708984,0.227539063
3394,845294354,0.126183,0.75197,-0.102226,0.638883,14.84011745,5.249080658,-9.920674324,67.88454437,-0.053277832,-0.012089969,-0.539306641,-0.629638672,0.232421875
3395,845302687,0.123323,0.751954,-0.100416,0.639746,15.29553223,6.393037796,-7.488922596,46.84724045,7.540270329,8.199864388,-0.538818359,-0.632568359,0.232910156
3396,845311020,0.121584,0.750889,-0.099905,0.641408,16.08448601,7.582260609,-5.97436285,23.1529541,24.38838005,14.57317162,-0.539306641,-0.627685547,0.231933594
3397,845319353,0.120632,0.749114,-0.099912,0.643658,14.90656281,7.836657524,-5.007789135,10.08053589,36.93302917,14.94161224,-0.541259766,-0.629638672,0.228515625
3398,845327686,0.120532,0.747392,-0.100367,0.645605,13.73481941,7.372711182,-4.307869434,-3.013005972,33.77162933,11.44241619,-0.539306641,-0.624267578,0.220947266
3399,845336019,0.121344,0.745896,-0.10137,0.647025,13.08865452,7.482814789,-3.726593018,-17.57501793,26.68468857,7.784365177,-0.539550781,-0.623779297,0.218505859
3400,845344352,0.122659,0.744133,-0.102271,0.648663,13.47555351,7.895897388,-2.284952879,-21.98426437,32.18892288,3.00641036,-0.539550781,-0.622802734,0.211425781
3401,845352685,0.125234,0.741943,-0.103853,0.650425,13.26949024,6.752441883,0.261815965,-41.50365067,37.88915253,-0.448250324,-0.538085938,-0.622314453,0.206054688
3402,845361018,0.129801,0.7394,-0.106606,0.651979,13.75910187,4.391049862,2.63375926,-73.19011688,39.74873734,-6.184390068,-0.538085938,-0.620849609,0.197265625
3403,845369351,0.136592,0.736209,-0.109844,0.653664,15.42925167,1.562904835,4.820944309,-101.1256409,49.28613281,-20.00768852,-0.535400391,-0.621337891,0.186279297
3404,845377684,0.145657,0.732504,-0.113024,0.655324,16.2614975,-1.42261219,6.516194344,-124.6283569,57.1952858,-40.29010773,-0.530517578,-0.62109375,0.172851563
3405,845386017,0.156357,0.729458,-0.116239,0.655694,14.76137638,-4.737962723,6.648382187,-142.119812,40.72685623,-58.30128479,-0.528564453,-0.623535156,0.161865234
3406,845394350,0.166307,0.728236,-0.119133,0.654082,10.45808411,-6.162795067,5.343512535,-130.9256134,3.89430666,-61.92744064,-0.524902344,-0.625976563,0.152587891
3407,845402683,0.173931,0.727938,-0.120734,0.652135,8.581585884,-5.633987427,4.5812397,-94.4310379,-8.633307457,-56.23462296,-0.524414063,-0.630859375,0.151123047
3408,845411016,0.180754,0.726556,-0.121501,0.651679,10.14696693,-5.070587635,7.043876171,-79.05130005,16.69782257,-52.03110886,-0.522460938,-0.635253906,0.145996094
3409,845419349,0.18677,0.724866,-0.122037,0.651764,10.86609077,-4.213833332,9.090891838,-68.78482056,24.08063698,-45.258255,-0.517822266,-0.640625,0.140625
3410,845427682,0.19053,0.724915,-0.122206,0.650588,9.040628433,-2.433807373,4.911157608,-40.66765213,-6.891026974,-34.83758163,-0.514892578,-0.642578125,0.135253906
3411,845436015,0.192432,0.726081,-0.122586,0.648653,10.12910557,-1.011798739,0.634827912,-22.39874268,-28.13516235,-19.97714615,-0.514892578,-0.645507813,0.137695313
3412,845444348,0.193569,0.726917,-0.123356,0.647231,13.22485447,0.995990574,1.17879045,-18.22261047,-22.4169693,-7.35115099,-0.515869141,-0.647949219,0.140136719
3413,845452681,0.19515,0.726925,-0.124934,0.646444,15.93148708,3.323560953,0.961075723,-31.01803017,-10.03629303,-0.126316711,-0.516845703,-0.646972656,0.141601563
3414,845461014,0.196986,0.72612,-0.12677,0.646435,18.45256042,4.729977131,1.033713579,-36.66348267,4.660157681,3.661329031,-0.516845703,-0.646972656,0.140136719
3415,845469347,0.199023,0.724813,-0.128661,0.646904,19.60645103,4.287951946,1.457761765,-39.68167496,14.08134556,4.600784779,-0.519775391,-0.645507813,0.136230469
3416,845477680,0.201633,0.723766,-0.130808,0.646837,18.66815186,2.873856306,1.900023103,-47.91373825,6.746982098,0.124203667,-0.517822266,-0.642578125,0.1328125
3417,845486013,0.204875,0.72341,-0.133297,0.645707,17.31664658,1.421459436,1.489398003,-57.24350357,-9.784937859,-6.281923771,-0.517333984,-0.640625,0.130126953
3418,845494346,0.208121,0.723443,-0.135982,0.644071,15.74507999,0.060111657,0.719997048,-58.86346436,-18.82592392,-6.51893425,-0.517822266,-0.640625,0.128173828
3419,845502679,0.211056,0.723569,-0.138738,0.642385,14.67979622,-0.448959678,0.359718174,-56.21200943,-20.92137527,-3.37244463,-0.517822266,-0.638671875,0.131591797
3420,845511012,0.213567,0.723495,-0.141326,0.641072,13.6719265,-0.74087286,-0.120890886,-50.38138962,-15.76340866,0.179607451,-0.519287109,-0.635253906,0.131591797
3421,845519345,0.215697,0.723225,-0.143697,0.640136,12.41976166,-0.967630148,-0.167667866,-44.54002762,-10.39400673,2.858528614,-0.519287109,-0.6328125,0.130615234
